['0', '0.011764705882352941', '1587.0']
['1', '0.01568627450980392', '1107.0']
['2', '0.0196078431372549', '75.0']
['2', '0.023529411764705882', '1191.0']
['2', '0.027450980392156862', '927.0']
['3', '0.00784313725490196', '27.0']
['4', '0.01568627450980392', '7.0']
['4', '0.0196078431372549', '737.0']
['4', '0.023529411764705882', '487.0']
['4', '0.027450980392156862', '507.0']
['5', '0.01568627450980392', '27.0']
['5', '0.0196078431372549', '979.0']
['6', '0.01568627450980392', '7.0']
['6', '0.0196078431372549', '2255.0']
['9', '0.0196078431372549', '3.0']
['9', '0.023529411764705882', '1391.0']
['9', '0.027450980392156862', '1499.0']
['9', '0.03137254901960784', '963.0']
['10', '0.01568627450980392', '1287.0']
['11', '0.0196078431372549', '5.0']
['11', '0.023529411764705882', '2227.0']
['11', '0.027450980392156862', '1125.0']
['13', '0.027450980392156862', '7.0']
['13', '0.03137254901960784', '219.0']
['13', '0.03529411764705882', '823.0']
['13', '0.0392156862745098', '895.0']
['13', '0.043137254901960784', '511.0']
['13', '0.047058823529411764', '29.0']
['14', '0.023529411764705882', '9.0']
['14', '0.027450980392156862', '455.0']
['14', '0.03137254901960784', '627.0']
['14', '0.03529411764705882', '505.0']
['14', '0.0392156862745098', '511.0']
['14', '0.043137254901960784', '61.0']
['16', '0.03137254901960784', '313.0']
['16', '0.03529411764705882', '1261.0']
['16', '0.0392156862745098', '463.0']
['16', '0.043137254901960784', '511.0']
['16', '0.047058823529411764', '511.0']
['16', '0.050980392156862744', '511.0']
['16', '0.054901960784313725', '255.0']
['16', '0.058823529411764705', '255.0']
['16', '0.06274509803921569', '255.0']
['18', '0.027450980392156862', '1125.0']
['18', '0.03137254901960784', '837.0']
['18', '0.03529411764705882', '1377.0']
['18', '0.0392156862745098', '667.0']
['19', '0.011764705882352941', '2627.0']
['20', '0.01568627450980392', '1859.0']
['21', '0.027450980392156862', '7.0']
