['73', '0.058823529411764705', '15.0']
['76', '0.0196078431372549', '3.0']
['76', '0.023529411764705882', '83.0']
['76', '0.027450980392156862', '127.0']
['76', '0.03137254901960784', '63.0']
['76', '0.03529411764705882', '63.0']
['76', '0.0392156862745098', '29.0']
['78', '0.01568627450980392', '57.0']
['78', '0.0196078431372549', '433.0']
['79', '0.0196078431372549', '39.0']
['79', '0.023529411764705882', '343.0']
['79', '0.027450980392156862', '493.0']
['80', '0.0196078431372549', '67.0']
['80', '0.023529411764705882', '145.0']
['80', '0.027450980392156862', '115.0']
['80', '0.03137254901960784', '127.0']
['82', '0.01568627450980392', '59.0']
['83', '0.00784313725490196', '1113.0']
['84', '0.03137254901960784', '227.0']
['84', '0.03529411764705882', '243.0']
['84', '0.0392156862745098', '127.0']
['84', '0.043137254901960784', '63.0']
['84', '0.047058823529411764', '63.0']
['84', '0.050980392156862744', '63.0']
['84', '0.054901960784313725', '31.0']
['84', '0.058823529411764705', '31.0']
['84', '0.06274509803921569', '31.0']
['88', '0.011764705882352941', '639.0']
['89', '0.01568627450980392', '21.0']
['90', '0.0196078431372549', '363.0']
['90', '0.023529411764705882', '255.0']
['92', '0.03137254901960784', '233.0']
['92', '0.03529411764705882', '229.0']
['92', '0.0392156862745098', '195.0']
['92', '0.043137254901960784', '127.0']
['92', '0.047058823529411764', '123.0']
['93', '0.00392156862745098', '551.0']
['96', '0.01568627450980392', '207.0']
['96', '0.0196078431372549', '255.0']
['98', '0.047058823529411764', '3.0']
['98', '0.050980392156862744', '5.0']
['98', '0.054901960784313725', '43.0']
['98', '0.058823529411764705', '295.0']
['98', '0.06274509803921569', '165.0']
['99', '0.023529411764705882', '17.0']
['99', '0.027450980392156862', '265.0']
['99', '0.03137254901960784', '123.0']
['99', '0.03529411764705882', '127.0']
['99', '0.0392156862745098', '63.0']
