['79', '0.023529411764705882', '639.0']
['80', '0.01568627450980392', '23.0']
['80', '0.0196078431372549', '445.0']
['80', '0.023529411764705882', '353.0']
['81', '0.027450980392156862', '39.0']
['81', '0.03137254901960784', '471.0']
['81', '0.03529411764705882', '231.0']
['81', '0.0392156862745098', '255.0']
['81', '0.043137254901960784', '127.0']
['81', '0.047058823529411764', '127.0']
['81', '0.050980392156862744', '127.0']
['81', '0.054901960784313725', '63.0']
['81', '0.058823529411764705', '63.0']
['82', '0.023529411764705882', '7.0']
['82', '0.027450980392156862', '367.0']
['82', '0.03137254901960784', '207.0']
['82', '0.03529411764705882', '127.0']
['82', '0.0392156862745098', '125.0']
['82', '0.043137254901960784', '127.0']
['82', '0.047058823529411764', '127.0']
['82', '0.050980392156862744', '63.0']
['82', '0.054901960784313725', '63.0']
['82', '0.058823529411764705', '63.0']
['83', '0.00784313725490196', '7.0']
['84', '0.027450980392156862', '621.0']
['84', '0.03137254901960784', '195.0']
['84', '0.03529411764705882', '121.0']
['84', '0.0392156862745098', '127.0']
['84', '0.043137254901960784', '127.0']
['84', '0.047058823529411764', '63.0']
['84', '0.050980392156862744', '63.0']
['89', '0.011764705882352941', '1985.0']
['90', '0.0196078431372549', '21.0']
['90', '0.023529411764705882', '653.0']
['90', '0.027450980392156862', '549.0']
['90', '0.03137254901960784', '283.0']
['92', '0.0196078431372549', '2091.0']
['92', '0.023529411764705882', '485.0']
['92', '0.027450980392156862', '261.0']
['93', '0.0196078431372549', '349.0']
['93', '0.023529411764705882', '255.0']
['96', '0.0196078431372549', '249.0']
['96', '0.023529411764705882', '225.0']
['96', '0.027450980392156862', '125.0']
['96', '0.03137254901960784', '127.0']
['96', '0.03529411764705882', '127.0']
['96', '0.0392156862745098', '63.0']
['96', '0.043137254901960784', '63.0']
['96', '0.047058823529411764', '63.0']
['96', '0.050980392156862744', '31.0']
['96', '0.054901960784313725', '31.0']
['96', '0.058823529411764705', '13.0']
['98', '0.050980392156862744', '3.0']
['98', '0.054901960784313725', '241.0']
['98', '0.058823529411764705', '271.0']
['98', '0.06274509803921569', '267.0']
['99', '0.011764705882352941', '809.0']
