['37', '0.050980392156862744', '13.0']
['74', '0.050980392156862744', '13.0']
['78', '0.043137254901960784', '29.0']
['18', '0.0392156862745098', '5.0']
['26', '0.058823529411764705', '5.0']
['44', '0.06274509803921569', '5.0']
['65', '0.01568627450980392', '255.0']
['65', '0.0196078431372549', '73.0']
['65', '0.0392156862745098', '1023.0']
['73', '0.050980392156862744', '61.0']
['77', '0.058823529411764705', '255.0']
['96', '0.027450980392156862', '5.0']
['0', '0.03137254901960784', '3.0']
['45', '0.023529411764705882', '133.0']
['91', '0.03529411764705882', '737.0']
['6', '0.027450980392156862', '25.0']
['34', '0.043137254901960784', '1147.0']
['87', '0.027450980392156862', '3.0']
['2', '0.054901960784313725', '511.0']
['81', '0.0392156862745098', '511.0']
