['2', '0.027450980392156862', '927.0']
['9', '0.03137254901960784', '963.0']
['11', '0.027450980392156862', '1125.0']
['13', '0.047058823529411764', '29.0']
['14', '0.043137254901960784', '61.0']
['34', '0.03529411764705882', '509.0']
['92', '0.043137254901960784', '741.0']
['98', '0.054901960784313725', '1325.0']
['13', '0.03137254901960784', '219.0']
['70', '0.011764705882352941', '41.0']
['81', '0.027450980392156862', '91.0']
['98', '0.043137254901960784', '103.0']
['84', '0.03137254901960784', '573.0']
['73', '0.023529411764705882', '3.0']
