['16', '0.0392156862745098', '437.0']
['33', '0.047058823529411764', '2969.0']
['44', '0.03529411764705882', '185.0']
['61', '0.0392156862745098', '7.0']
['61', '0.043137254901960784', '7.0']
['61', '0.050980392156862744', '5.0']
['73', '0.03137254901960784', '5.0']
['89', '0.03529411764705882', '7.0']
['92', '0.01568627450980392', '5.0']
['61', '0.058823529411764705', '49.0']
['61', '0.06274509803921569', '49.0']
['88', '0.043137254901960784', '335.0']
['66', '0.0392156862745098', '55.0']
['74', '0.023529411764705882', '245.0']
['12', '0.023529411764705882', '755.0']
['25', '0.047058823529411764', '3.0']
['90', '0.03529411764705882', '109.0']
['93', '0.01568627450980392', '447.0']
['30', '0.043137254901960784', '3219.0']
['52', '0.047058823529411764', '3495.0']
