['1', '0.023529411764705882', '5.0']
['3', '0.0196078431372549', '129.0']
['4', '0.023529411764705882', '125.0']
['21', '0.050980392156862744', '5.0']
['29', '0.03529411764705882', '29.0']
['50', '0.047058823529411764', '127.0']
['50', '0.050980392156862744', '29.0']
['50', '0.054901960784313725', '5.0']
['92', '0.027450980392156862', '261.0']
['96', '0.050980392156862744', '31.0']
['96', '0.054901960784313725', '31.0']
['96', '0.058823529411764705', '13.0']
['29', '0.0196078431372549', '17.0']
['53', '0.00784313725490196', '5.0']
['80', '0.01568627450980392', '23.0']
['98', '0.050980392156862744', '3.0']
['66', '0.01568627450980392', '23.0']
['16', '0.027450980392156862', '31.0']
['54', '0.043137254901960784', '127.0']
['16', '0.0392156862745098', '123.0']
