['8', '0.06274509803921569', '9.0']
['14', '0.058823529411764705', '5.0']
['14', '0.06274509803921569', '61.0']
['18', '0.03137254901960784', '3.0']
['18', '0.03529411764705882', '11.0']
['31', '0.050980392156862744', '61.0']
['31', '0.054901960784313725', '915.0']
['63', '0.043137254901960784', '3.0']
['63', '0.047058823529411764', '5.0']
['63', '0.050980392156862744', '15.0']
['63', '0.054901960784313725', '61.0']
['63', '0.058823529411764705', '477.0']
['63', '0.06274509803921569', '617.0']
['92', '0.0196078431372549', '7.0']
['92', '0.023529411764705882', '215.0']
['95', '0.047058823529411764', '3.0']
['95', '0.050980392156862744', '9.0']
['95', '0.054901960784313725', '169.0']
['95', '0.058823529411764705', '677.0']
['95', '0.06274509803921569', '939.0']
