['0', '0.03137254901960784', '3.0']
['0', '0.03529411764705882', '1425.0']
['0', '0.0392156862745098', '1069.0']
['0', '0.043137254901960784', '511.0']
['0', '0.047058823529411764', '511.0']
['0', '0.050980392156862744', '511.0']
['0', '0.054901960784313725', '511.0']
['0', '0.058823529411764705', '511.0']
['0', '0.06274509803921569', '511.0']
['1', '0.0392156862745098', '1021.0']
['1', '0.043137254901960784', '1047.0']
['1', '0.047058823529411764', '1409.0']
['1', '0.050980392156862744', '941.0']
['1', '0.054901960784313725', '751.0']
['1', '0.058823529411764705', '1023.0']
['1', '0.06274509803921569', '511.0']
['2', '0.0196078431372549', '1093.0']
['2', '0.023529411764705882', '851.0']
['2', '0.027450980392156862', '821.0']
['2', '0.03137254901960784', '511.0']
['2', '0.03529411764705882', '511.0']
['2', '0.0392156862745098', '511.0']
['2', '0.043137254901960784', '511.0']
['2', '0.047058823529411764', '511.0']
['2', '0.050980392156862744', '511.0']
['2', '0.054901960784313725', '511.0']
['2', '0.058823529411764705', '511.0']
['2', '0.06274509803921569', '253.0']
['3', '0.043137254901960784', '1163.0']
['3', '0.047058823529411764', '1131.0']
['3', '0.050980392156862744', '847.0']
['3', '0.054901960784313725', '1023.0']
['3', '0.058823529411764705', '1023.0']
['3', '0.06274509803921569', '1023.0']
['4', '0.03137254901960784', '1041.0']
['4', '0.03529411764705882', '1023.0']
['4', '0.0392156862745098', '1023.0']
['4', '0.043137254901960784', '1023.0']
['4', '0.047058823529411764', '1023.0']
['4', '0.050980392156862744', '511.0']
['4', '0.054901960784313725', '511.0']
['4', '0.058823529411764705', '511.0']
['4', '0.06274509803921569', '511.0']
['5', '0.023529411764705882', '363.0']
['5', '0.027450980392156862', '1029.0']
['5', '0.03137254901960784', '913.0']
['5', '0.03529411764705882', '511.0']
['5', '0.0392156862745098', '511.0']
['5', '0.043137254901960784', '511.0']
['5', '0.047058823529411764', '511.0']
['5', '0.050980392156862744', '511.0']
['5', '0.054901960784313725', '511.0']
['5', '0.058823529411764705', '511.0']
['5', '0.06274509803921569', '511.0']
['6', '0.027450980392156862', '25.0']
['6', '0.03137254901960784', '1673.0']
['6', '0.03529411764705882', '1211.0']
['6', '0.0392156862745098', '829.0']
['6', '0.043137254901960784', '1023.0']
['6', '0.047058823529411764', '1023.0']
['6', '0.050980392156862744', '1023.0']
['6', '0.054901960784313725', '1023.0']
['7', '0.01568627450980392', '1479.0']
['7', '0.0196078431372549', '1307.0']
['7', '0.023529411764705882', '911.0']
['7', '0.027450980392156862', '1023.0']
['7', '0.03137254901960784', '1023.0']
['7', '0.03529411764705882', '1023.0']
['7', '0.0392156862745098', '511.0']
['7', '0.043137254901960784', '511.0']
['7', '0.047058823529411764', '511.0']
['7', '0.050980392156862744', '511.0']
['8', '0.023529411764705882', '5.0']
['8', '0.027450980392156862', '1455.0']
['8', '0.03137254901960784', '1301.0']
['8', '0.03529411764705882', '1117.0']
['8', '0.0392156862745098', '937.0']
['8', '0.043137254901960784', '883.0']
['8', '0.047058823529411764', '1023.0']
['8', '0.050980392156862744', '1023.0']
['8', '0.054901960784313725', '1023.0']
['8', '0.058823529411764705', '511.0']
['8', '0.06274509803921569', '511.0']
['9', '0.03137254901960784', '33.0']
['9', '0.03529411764705882', '1461.0']
['9', '0.0392156862745098', '1283.0']
['9', '0.043137254901960784', '1569.0']
['9', '0.047058823529411764', '1023.0']
['9', '0.050980392156862744', '1023.0']
['9', '0.054901960784313725', '1023.0']
['9', '0.058823529411764705', '1023.0']
['9', '0.06274509803921569', '511.0']
['10', '0.03529411764705882', '1237.0']
['10', '0.0392156862745098', '1185.0']
['10', '0.043137254901960784', '1117.0']
['10', '0.047058823529411764', '1147.0']
['10', '0.050980392156862744', '1023.0']
['10', '0.054901960784313725', '1023.0']
['10', '0.058823529411764705', '1023.0']
['10', '0.06274509803921569', '1023.0']
['11', '0.0392156862745098', '25.0']
['11', '0.043137254901960784', '1223.0']
['11', '0.047058823529411764', '1429.0']
['11', '0.050980392156862744', '1107.0']
['11', '0.054901960784313725', '1023.0']
['11', '0.058823529411764705', '1023.0']
['11', '0.06274509803921569', '511.0']
['12', '0.027450980392156862', '1513.0']
['12', '0.03137254901960784', '1101.0']
['12', '0.03529411764705882', '909.0']
['12', '0.0392156862745098', '1023.0']
['12', '0.043137254901960784', '1023.0']
['12', '0.047058823529411764', '511.0']
['12', '0.050980392156862744', '511.0']
['12', '0.054901960784313725', '511.0']
['12', '0.058823529411764705', '511.0']
['12', '0.06274509803921569', '511.0']
['13', '0.0392156862745098', '69.0']
['13', '0.043137254901960784', '1229.0']
['13', '0.047058823529411764', '1361.0']
['13', '0.050980392156862744', '1103.0']
['13', '0.054901960784313725', '763.0']
['13', '0.058823529411764705', '1023.0']
['13', '0.06274509803921569', '1023.0']
['14', '0.027450980392156862', '1303.0']
['14', '0.03137254901960784', '1481.0']
['14', '0.03529411764705882', '731.0']
['14', '0.0392156862745098', '1023.0']
['14', '0.043137254901960784', '1023.0']
['14', '0.047058823529411764', '1023.0']
['14', '0.050980392156862744', '1023.0']
['14', '0.054901960784313725', '511.0']
['14', '0.058823529411764705', '511.0']
['14', '0.06274509803921569', '511.0']
['15', '0.03137254901960784', '521.0']
['15', '0.03529411764705882', '1049.0']
['15', '0.0392156862745098', '1643.0']
['15', '0.043137254901960784', '1023.0']
['15', '0.047058823529411764', '1023.0']
['15', '0.050980392156862744', '1023.0']
['15', '0.054901960784313725', '511.0']
['15', '0.058823529411764705', '1023.0']
['15', '0.06274509803921569', '1023.0']
['16', '0.023529411764705882', '1651.0']
['16', '0.027450980392156862', '1223.0']
['16', '0.03137254901960784', '1023.0']
['16', '0.03529411764705882', '1023.0']
['16', '0.0392156862745098', '1023.0']
['16', '0.043137254901960784', '1023.0']
['16', '0.047058823529411764', '1023.0']
['16', '0.050980392156862744', '511.0']
['16', '0.054901960784313725', '511.0']
['16', '0.058823529411764705', '511.0']
['16', '0.06274509803921569', '511.0']
['17', '0.0392156862745098', '1401.0']
['17', '0.043137254901960784', '1407.0']
['17', '0.047058823529411764', '1067.0']
['17', '0.050980392156862744', '1023.0']
['17', '0.054901960784313725', '1023.0']
['17', '0.058823529411764705', '1023.0']
['17', '0.06274509803921569', '1023.0']
['18', '0.01568627450980392', '205.0']
['18', '0.027450980392156862', '103.0']
