['16', '0.050980392156862744', '511.0']
['16', '0.054901960784313725', '511.0']
['16', '0.058823529411764705', '511.0']
['16', '0.06274509803921569', '511.0']
['17', '0.0392156862745098', '1401.0']
['17', '0.043137254901960784', '1407.0']
['17', '0.047058823529411764', '1067.0']
['17', '0.050980392156862744', '1023.0']
['17', '0.054901960784313725', '1023.0']
['17', '0.058823529411764705', '1023.0']
['17', '0.06274509803921569', '1023.0']
['18', '0.01568627450980392', '205.0']
['18', '0.027450980392156862', '103.0']
['18', '0.0392156862745098', '5.0']
['19', '0.027450980392156862', '1365.0']
['19', '0.03137254901960784', '1327.0']
['19', '0.03529411764705882', '1023.0']
['19', '0.0392156862745098', '1023.0']
['19', '0.043137254901960784', '1023.0']
['19', '0.047058823529411764', '1023.0']
['19', '0.050980392156862744', '1023.0']
['19', '0.054901960784313725', '1023.0']
['19', '0.058823529411764705', '511.0']
['19', '0.06274509803921569', '511.0']
['20', '0.0196078431372549', '1819.0']
['20', '0.023529411764705882', '1925.0']
['20', '0.027450980392156862', '1329.0']
['20', '0.03137254901960784', '1641.0']
['20', '0.03529411764705882', '1023.0']
['20', '0.0392156862745098', '1023.0']
['20', '0.043137254901960784', '1023.0']
['20', '0.047058823529411764', '1023.0']
['20', '0.050980392156862744', '511.0']
['20', '0.054901960784313725', '1023.0']
['20', '0.058823529411764705', '29.0']
['21', '0.027450980392156862', '11.0']
['21', '0.03137254901960784', '1199.0']
['21', '0.03529411764705882', '1253.0']
['21', '0.0392156862745098', '1169.0']
['21', '0.043137254901960784', '1023.0']
['21', '0.047058823529411764', '1023.0']
['21', '0.050980392156862744', '1023.0']
['21', '0.054901960784313725', '1023.0']
['21', '0.058823529411764705', '511.0']
['21', '0.06274509803921569', '511.0']
['22', '0.043137254901960784', '1383.0']
['22', '0.047058823529411764', '1165.0']
['22', '0.050980392156862744', '1023.0']
['22', '0.054901960784313725', '1023.0']
['22', '0.058823529411764705', '1023.0']
